# 3D point list with one line of data per point:
#   POINT3D_ID, X, Y, Z, R, G, B, ERROR, TRACK[] as (IMAGE_ID, POINT2D_IDX)
# Number of points: 356, mean track length: 2
254 -6.98529 -1.41899 51.1701 185 147 93 0.112713 1 1710 2 1641
253 -7.46899 -1.42312 51.0888 177 143 96 0.0467038 1 1708 2 1639
252 -7.25099 -1.63004 51.0501 137 98 50 0.0372184 1 1707 2 1624
251 -8.23914 -1.45281 50.6012 149 116 77 0.0486028 1 1706 2 1638
250 3.4136 -2.43633 52.003 255 225 162 0.078623 1 1693 2 1997
249 2.88432 -2.39275 51.9913 109 73 39 0.291516 1 1692 2 1996
248 2.88432 -2.39275 51.9913 109 73 39 0.291516 1 1691 2 1995
247 2.33779 -2.44416 51.8426 253 216 149 0.0927749 1 1689 2 1602
246 -4.90249 -1.93481 51.0302 126 90 50 0.0722514 1 1687 2 1625
245 -8.32753 -1.96989 49.8992 95 60 22 0.0152228 1 1682 2 1620
244 -8.36231 -2.53244 47.9987 61 36 8 0.0854062 1 1680 2 987
243 -8.85932 -2.45317 46.2432 131 109 86 0.167453 1 1679 2 986
242 8.14437 -2.83578 46.6317 244 210 156 0.0267394 1 1674 2 1540
241 5.32795 -2.68472 52.0571 217 171 109 0.0287992 1 1669 2 1610
240 4.94154 -3.19779 52.2411 236 186 122 0.0494567 1 1668 2 1559
239 4.12685 -2.89307 52.0039 147 106 57 0.0618218 1 1667 2 1018
238 1.46282 -2.68428 51.4764 218 169 105 0.0887946 1 1665 2 1597
237 1.10361 -2.70138 51.465 207 158 96 0.127845 1 1664 2 1993
236 1.64709 -2.90207 51.5136 255 222 164 0.0219479 1 1663 2 1601
235 0.679607 -2.71732 51.4231 203 151 86 0.0125135 1 1662 2 1992
234 0.281615 -2.92451 51.2572 255 227 166 0.156857 1 1661 2 1593
233 -0.408865 -2.49148 51.4094 255 228 172 0.104353 1 1660 2 1592
232 -1.14589 -2.94874 51.1418 254 224 171 0.0141072 1 1657 2 1591
231 -1.97108 -2.54731 51.2076 255 240 177 0.061673 1 1655 2 1589
230 -2.2232 -2.74379 51.032 164 121 69 0.0350817 1 1654 2 1587
229 -2.2232 -2.74379 51.032 164 121 69 0.0350817 1 1653 2 1586
228 -2.78263 -2.8143 50.9044 181 135 82 0.167649 1 1652 2 1584
227 -2.78263 -2.8143 50.9044 181 135 82 0.167649 1 1651 2 1583
226 -3.19542 -2.58788 50.9007 229 188 136 0.0839873 1 1650 2 1585
225 -3.31362 -2.8258 50.8194 153 111 63 0.0353685 1 1649 2 1581
224 -3.31362 -2.8258 50.8194 153 111 63 0.0353685 1 1648 2 1580
223 -3.73209 -2.77169 50.5644 172 134 81 0.143176 1 1647 2 1577
222 -3.31006 -3.21985 50.839 184 137 81 0.0982322 1 1646 2 958
221 -4.81495 -2.67323 50.4703 155 116 67 0.0678283 1 1645 2 1573
220 -5.7637 -2.80779 50.2215 156 117 65 0.0715006 1 1644 2 1568
219 -8.02368 -2.92644 49.2328 166 131 85 0.0212031 1 1643 2 1564
218 -8.00054 -3.27456 49.0322 167 132 88 0.0831422 1 1642 2 1552
217 -8.42717 -3.25937 48.3356 77 51 21 0.0306158 1 1640 2 1549
216 8.5032 -3.86528 45.3578 201 169 115 0.343431 1 1634 2 1523
215 -5.39147 -3.51876 49.4028 182 145 91 0.100407 1 1622 2 1555
214 -8.0125 -4.14984 48.0408 101 67 26 0.0437961 1 1615 2 1530
213 -11.0435 -3.7122 48.4802 137 110 73 0.34671 1 1610 2 1545
212 6.70283 -4.36108 47.1406 211 172 117 0.189637 1 1604 2 1953
211 6.25504 -4.92434 47.5192 191 161 113 0.0517017 1 1600 2 1505
210 -7.34823 -4.46673 47.6931 202 166 111 0.156729 1 1595 2 1947
209 -7.98089 -4.40217 46.7752 149 119 83 0.0110272 1 1592 2 1514
208 -7.93106 -4.79813 46.4748 156 126 88 0.0161274 1 1591 2 1513
207 8.14792 -5.39807 43.9671 243 216 154 0.211655 1 1580 2 1437
206 6.49696 -5.09845 46.095 255 232 168 0.0174225 1 1579 2 1475
205 6.30495 -5.32727 46.9163 245 213 158 0.0482324 1 1577 2 1474
204 2.52399 -5.46872 47.7062 255 243 180 0.176949 1 1566 2 1905
203 -0.269768 -5.62144 47.5073 127 92 44 0.257407 1 1565 2 1902
202 -0.530631 -5.67028 47.408 255 248 195 0.0384714 1 1564 2 1466
201 -4.71441 -5.02317 47.5819 205 166 105 0.362463 1 1562 2 1922
200 -5.71555 -5.32513 46.195 209 180 136 0.382354 1 1558 2 1920
199 3.03957 -5.84631 47.7039 255 255 192 0.255323 1 1548 2 1469
96 0.0351066 -5.9369 47.3661 255 237 168 0.0090988 1 950 2 827
95 -1.43838 -5.94113 47.2385 238 190 120 0.0193011 1 947 2 1462
94 -1.58601 -6.09299 47.0943 255 236 165 0.285882 1 946 2 822
93 -2.87189 -6.0554 46.9238 185 142 90 0.0346973 1 943 2 818
92 -2.73401 -6.21438 46.9446 255 239 175 0.0965206 1 940 2 820
91 -2.8265 -6.38133 47.0592 186 144 81 0.0192898 1 939 2 170
90 -3.57317 -5.96487 46.4435 216 178 119 0.203743 1 938 2 815
89 -3.71254 -5.96509 46.0779 255 246 186 0.0812247 1 936 2 814
88 -3.8766 -6.16647 46.0088 255 233 165 0.0182424 1 935 2 792
87 -5.14864 -5.77425 46.2283 172 133 78 0.0763137 1 933 2 813
86 -6.67939 -5.96498 45.7056 232 199 139 0.033005 1 930 2 1453
85 -7.0257 -5.97337 45.6045 224 187 131 0.335171 1 928 2 1452
84 -7.20335 -5.87226 45.7458 164 129 74 0.0429665 1 927 2 809
83 -7.79824 -6.01416 43.6125 139 115 77 0.142275 1 926 2 782
82 -8.09789 -6.14509 42.9886 223 190 136 0.0745588 1 925 2 781
81 -8.69416 -5.77556 42.4536 221 188 136 0.0651923 1 923 2 779
80 -11.3937 -6.07119 47.1538 143 110 58 0.0593755 1 921 2 183
79 -2.04307 -8.99546 51.4751 255 248 165 0.0477599 1 828 2 751
78 -3.00562 -8.74753 51.4949 253 237 171 0.0394498 1 825 2 749
77 -3.14062 -8.90213 51.3844 220 176 98 0.0453672 1 823 2 747
76 -4.38842 -8.74484 50.0974 180 142 81 0.041287 1 820 2 704
75 -7.99714 -8.06577 47.7934 159 124 70 0.0360737 1 810 2 734
74 8.59021 -9.03156 48.1794 209 176 112 0.136583 1 793 2 91
73 8.59021 -9.03156 48.1794 209 176 112 0.136583 1 792 2 90
72 8.34551 -9.10387 48.2576 198 163 104 0.142094 1 791 2 680
71 6.70211 -9.27616 50.8878 255 231 158 0.184691 1 786 2 121
70 -2.16502 -9.227 51.5939 255 214 134 0.0505189 1 772 2 709
69 -2.16502 -9.227 51.5939 255 214 134 0.0505189 1 771 2 710
68 -3.94316 -9.24131 50.3584 249 216 164 0.0668024 1 765 2 111
67 -5.80164 -9.2547 50.2336 168 126 66 0.0094722 1 761 2 107
66 -6.03558 -8.99065 49.7641 175 134 73 0.076469 1 760 2 699
65 -7.59764 -9.37242 49.864 241 204 152 0.0267816 1 757 2 696
64 -9.30611 -9.09771 48.8346 177 140 85 0.0166353 1 751 2 101
63 8.11185 0.215791 51.0107 216 181 136 0.043637 1 516 2 1107
62 8.18607 -0.841059 49.5443 174 139 90 0.089113 1 488 2 1088
61 -8.6657 -0.664236 50.853 80 63 48 0.120631 1 466 2 441
60 8.27621 -1.09337 49.0934 190 155 106 0.0850936 1 449 2 1057
59 -5.59661 -0.963471 52.1528 176 139 86 0.0964204 1 439 2 427
58 -6.36798 -0.900872 51.8308 109 77 39 0.0842536 1 438 2 1072
57 -6.36798 -0.900872 51.8308 109 77 39 0.0842536 1 437 2 1073
56 -6.23933 -1.05457 51.7088 160 125 84 0.0123211 1 436 2 423
55 -6.23933 -1.05457 51.7088 160 125 84 0.0123211 1 435 2 422
54 -6.32452 -1.19199 51.599 121 86 47 0.028482 1 434 2 1071
53 -6.83499 -1.60305 51.2185 148 108 59 0.00516927 1 430 2 416
52 -7.84799 -1.59936 51.0165 114 80 44 0.015044 1 429 2 415
51 7.80772 -1.81387 49.4013 219 184 130 0.0500306 1 422 2 374
50 6.54576 -1.80306 50.8938 233 194 139 0.0403744 1 421 2 1055
49 0.0337125 -2.46567 51.5126 148 108 63 0.122696 1 414 2 366
48 0.0337125 -2.46567 51.5126 148 108 63 0.122696 1 413 2 367
47 -1.88389 -2.36232 51.3108 176 136 86 0.0363555 1 411 2 1007
22 7.39027 -4.14459 46.0258 255 227 166 0.0429656 1 349 2 1506
21 0.985155 -3.36445 51.6602 255 242 172 0.00245264 1 339 2 329
20 -4.69446 -3.71574 49.2718 196 162 114 0.085489 1 335 2 926
19 -5.13041 -3.74703 49.2297 191 152 97 0.00983429 1 334 2 925
18 -5.40643 -4.0364 48.9408 197 158 104 0.119732 1 333 2 295
17 -7.17182 -3.78183 48.9348 153 114 62 0.0257338 1 332 2 918
16 -11.4925 -3.79447 49.5139 91 65 35 0.0362754 1 328 2 314
15 -11.4358 -4.00963 49.17 104 75 42 0.0496285 1 326 2 911
14 5.87179 -4.23273 48.531 202 164 112 0.0401437 1 309 2 1521
13 6.09877 -4.82391 47.7563 223 191 140 0.0275682 1 308 2 869
12 -6.36013 -4.85135 47.425 240 201 139 0.163909 1 301 2 260
11 -7.48209 -4.61526 47.4571 139 102 56 0.0639993 1 300 2 258
4 -4.41181 -5.99883 46.1312 241 203 143 0.017328 1 263 2 191
3 -6.2821 -6.15086 45.3696 252 216 153 0.146267 1 260 2 787
2 -0.38538 -8.71505 51.9428 251 216 135 0.21848 1 185 2 756
1 8.13885 -8.94931 48.5265 248 221 156 0.138299 1 163 2 681
5 1.95876 -5.91283 47.531 255 255 192 0.0938159 1 270 2 195
6 -5.24336 -5.5517 46.5542 185 145 85 0.286349 1 284 2 189
7 3.55364 -5.23956 48.0368 187 147 97 0.179025 1 287 2 863
8 6.09203 -5.03319 47.3773 227 192 142 0.0597843 1 289 2 867
9 7.15767 -5.00481 46.271 231 198 146 0.0218976 1 290 2 199
10 -7.48209 -4.61526 47.4571 139 102 56 0.0639993 1 299 2 257
23 -8.60185 -3.38485 46.4033 99 69 34 0.0563284 1 357 2 291
24 -6.09919 -3.26993 48.9074 201 165 114 0.010112 1 358 2 948
25 -5.28969 -3.22423 49.7929 210 169 111 0.125623 1 360 2 953
26 -4.15082 -2.9638 49.7181 207 173 123 0.151603 1 363 2 956
27 -3.23466 -3.01015 50.7646 215 172 119 0.1126 1 364 2 359
28 -3.04457 -3.30507 51.0102 218 173 118 0.0455137 1 365 2 326
29 0.0949963 -3.1673 51.5366 255 206 135 0.0763597 1 366 2 327
30 -0.172342 -2.74078 51.3882 192 144 90 0.0399321 1 367 2 1011
31 -0.0864359 -2.8941 51.2936 246 207 149 0.0366037 1 368 2 362
32 -0.0830251 -2.59073 51.5011 223 183 137 0.114169 1 369 2 363
33 0.136991 -2.74462 51.4062 199 152 93 0.125747 1 372 2 364
34 0.378971 -2.58962 51.497 221 174 114 0.0297228 1 374 2 368
35 1.99673 -3.21895 51.7348 244 192 118 0.0675903 1 376 2 330
36 2.51154 -2.66963 51.7553 214 163 97 0.338872 1 379 2 1015
37 3.40963 -2.68838 51.9275 206 161 104 0.117839 1 381 2 1017
38 4.59708 -3.16561 52.1483 221 174 105 0.038812 1 383 2 335
39 5.38862 -2.50129 52.2072 245 200 136 0.0889546 1 384 2 370
40 6.30094 -2.75782 51.0497 223 188 138 0.0984608 1 388 2 339
41 6.72062 -3.0281 49.0926 235 195 135 0.0946186 1 389 2 341
42 -8.57274 -2.42375 47.7149 83 60 35 0.203941 1 397 2 350
43 -7.42814 -2.48753 49.9425 193 157 101 0.0613894 1 403 2 995
44 -6.92132 -2.48026 50.0477 182 143 95 0.17274 1 404 2 996
45 -6.99956 -2.00524 50.8117 172 132 85 0.0936269 1 405 2 1034
46 -6.73426 -2.03736 50.9213 192 156 105 0.104339 1 406 2 1035
97 0.385569 -5.98836 47.3113 255 254 186 0.0979921 1 951 2 828
98 1.61546 -5.92168 47.4694 255 254 184 0.00167564 1 953 2 829
99 4.61247 -5.97414 47.9593 255 229 155 0.0341742 1 963 2 832
100 5.31127 -5.74947 47.9009 255 243 180 0.0873411 1 965 2 833
101 -11.1806 -5.16551 47.8026 127 98 54 0.0564262 1 978 2 885
